丰刀 㓞
谷又 㕡
扌匝 㧜
氵欠 㳄
瓜瓜 㼌
足尚 䠀
魚巴 䰾
睘鳥 䴉
冫丨 丬
占乚 乩
舌乚 乱
孚乚 乳
龺乚 乹
龺乞 乾
爫糸乚 乿
爫冂厶又乚 亂
亻乙 亿
亻十 什
亻二 仁
亻力 仂
亻丁 仃
亻又 仅
亻卜 仆
亻九 仇
亻几 仉
亻乃 仍
人人 从
亻子 仔
亻士 仕
亻也 他
亻丈 仗
亻寸 付
亻山 仙
亻刃 仞
亻千 仟
亻乞 仡
亻弋 代
亻三 仨
亻义 仪
亻么 仫
亻门 们
亻卬 仰
亻中 仲
亻比 仳
亻午 仵
亻牛 件
亻介 价
亻壬 任
亻分 份
亻方 仿
亻弔 伄
亻亢 伉
亻尹 伊
亻五 伍
亻支 伎
亻犬 伏
亻戈 伐
亻木 休
亻夫 伕
亻尤 优
亻火 伙
亻区 伛
亻韦 伟
亻专 传
亻牙 伢
亻力 伤
亻长 伥
亻仑 伦
亻仓 伧
亻为 伪
亻宀一 伫
亻白 伯
亻古 估
亻尼 伲
亻半 伴
亻令 伶
亻申 伸
亻司 伺
亻以 似
亻加 伽
亻丕 伾
亻田 佃
亻旦 但
亻宁 佇
亻布 佈
亻去 佉
亻立 位
亻氐 低
亻主 住
亻左 佐
亻右 佑
亻本 体
亻占 佔
亻可 何
亻它 佗
亻失 佚
亻弗 佛
亻乍 作
亻句 佝
亻二女 佞
亻冬 佟
亻尔 你
亻用 佣
亻瓦 佤
亻卡 佧
亻凡巾 佩
亻老 佬
亻羊 佯
亻百 佰
亻圭 佳
亻耳 佴
亻并 併
亻吉 佶
亻兆 佻
亻交 佼
亻次 佽
亻八月 佾
亻吏 使
亻口川 侃
亻至 侄
亻多 侈
亻夸 侉
亻列 例
亻寺 侍
亻朱 侏
亻有 侑
亻牟 侔
亻同 侗
亻共 供
亻衣 依
亻夹 侠
亻吕 侣
亻尧 侥
亻贞 侦
亻则 侧
亻乔 侨
亻会 侩
亻齐 侪
亻农 侬
亻每 侮
亻矦 侯
亻彐冖又 侵
亻呂 侶
亻局 侷
亻更 便
亻系 係
亻足 促
亻我 俄
亻求 俅
亻吾 俉
亻夋 俊
仌且 俎
亻肖 俏
亻利 俐
亻甬 俑
亻谷 俗
亻孚 俘
亻里 俚
亻免 俛
亻甹 俜
亻呆 保
亻矣 俟
亻夾 俠
亻言 信
亻吴 俣
亻寿 俦
亻严 俨
亻两 俩
亻丽 俪
亻佥 俭
亻府 俯
亻具 俱
亻非 俳
亻奉 俸
亻奄 俺
亻卑 俾
亻長 倀
亻兩 倆
亻固 個
亻官 倌
亻咅 倍
亻門 們
亻到 倒
亻屈 倔
亻幸 倖
亻尚 倘
亻矦 候
亻奇 倚
亻周 倜
龺人 倝
亻京 倞
亻昔 借
亻隹 倠
亻昌 倡
亻空 倥
亻卷 倦
亻居 倨
亻青 倩
亻兒 倪
亻侖 倫
亻卓 倬
亻委 倭
亻果 倮
亻责 债
亻耶 倻
亻直 值
亻顷 倾
亻匽 偃
亻叚 假
亻曷 偈
亻韋 偉
亻若 偌
亻畏 偎
亻扁 偏
亻皆 偕
亻故 做
亻亭 停
亻建 健
亻怱 偬
亻則 側
亻貞 偵
亻禺 偶
亻俞 偷
亻娄 偻
亻為 偽
亻贲 偾
亻尝 偿
亻鬼 傀
亻尃 傅
亻栗 傈
亻旁 傍
亻桀 傑
亻隺 傕
亻倉 傖
亻效 傚
亻家 傢
亻泰 傣
亻党 傥
亻宾 傧
亻诸 储
亻难 傩
亻崔 催
亻庸 傭
亻悤 傯
亻敖 傲
亻專 傳
亻責 債
亻昜 傷
亻祭 傺
